request_id,result_class,match_status,join_mode,model_id,quality_case_id,quality_variant,source_run_id,source_setup_id,source_request,source_request_sha256,technical_status,scientific_status,decision,logical_case_id,logical_run_id,logical_backend,logical_variant,selected_representation_setup_id,selected_representation_source_path,central_result_sha256,candidate_predictions_sha256,reference_predictions_sha256,primary_metric,primary_candidate,primary_reference,primary_delta,primary_ci_low,primary_ci_high,primary_margin,sample_count
yolo26m:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:286c3c44c0c3caa8ca5bbf142bc14ce2ebf4375a38064b0dbc350b2e7c912c86,primary,matched,exact_setup,yolo26m,b028,composed,deepx_to_trt,orin_nx_deepx_m1_01,models/yolo26m/benchmark_results/quality_inputs/orin_nx_deepx_m1_01/results/b028/results_deepx_m1_to_tensorrt/task_quality_inputs/composed_request.json,286c3c44c0c3caa8ca5bbf142bc14ce2ebf4375a38064b0dbc350b2e7c912c86,completed,pass,pass,b028,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26m/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b028/results_deepx_m1_to_tensorrt/validation_report.json,9f8d685185932880cbd07b48f9ecbd7cb5720a0195e1f6a5e51f2f97b3a5448e,5c975283d40bc58ff10819877897c664aeabe9320678834c15fd05e65bddb26d,db6da5f49134ab7cd0fd1449c2b2fd2fbc9b0b0d0298f4624aa828492f78b101,coco_ap_50_95,0.44841091806871247,0.4479554002228571,0.0004555178458553466,-0.0044414866668452,0.0039685378814466495,0.01,500
yolo26m:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:a40383ad03d848902b75f04fdca282a0fe2227802f38522b7678ee1d55b7d894,primary,matched,exact_setup,yolo26m,b178,composed,deepx_to_trt,orin_nx_deepx_m1_01,models/yolo26m/benchmark_results/quality_inputs/orin_nx_deepx_m1_01/results/b178/results_deepx_m1_to_tensorrt/task_quality_inputs/composed_request.json,a40383ad03d848902b75f04fdca282a0fe2227802f38522b7678ee1d55b7d894,completed,pass,pass,b178,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26m/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b178/results_deepx_m1_to_tensorrt/validation_report.json,0f62aecae27f1d6add099863a736e4883e9860f9401a2eb2c6cd762df74bd4b5,e6f3648648b339601477387843773fdbe80ee2b6f1792e845163fe83957e9880,db6da5f49134ab7cd0fd1449c2b2fd2fbc9b0b0d0298f4624aa828492f78b101,coco_ap_50_95,0.4486881501674376,0.4479554002228571,0.0007327499445805019,-0.004136123402315576,0.007702560497422607,0.01,500
yolo26s:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:581d795e6c595d85f39f00403d44b6b98b800aabaacd64f0f92fcd281f186cd1,primary,matched,exact_setup,yolo26s,b042,composed,deepx_to_trt,orin_nx_deepx_m1_01,models/yolo26s/benchmark_results/quality_inputs/orin_nx_deepx_m1_01/results/b042/results_deepx_m1_to_tensorrt/task_quality_inputs/composed_request.json,581d795e6c595d85f39f00403d44b6b98b800aabaacd64f0f92fcd281f186cd1,completed,inconclusive,inconclusive,b042,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26s/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b042/results_deepx_m1_to_tensorrt/validation_report.json,30405388e63ee08b736c982ffe7f83ab134e61399c6c86f049cfc9ffba2d4817,ac5b3439f80c2726eada5f3f0e72ec55ebd10a80d072c8564bce1ef13fa2834e,c241f9c79098479b6c2990e8718aa662d82b60994f252f8e33603e419627937d,coco_ap_50_95,0.40477756438864454,0.40753480524311103,-0.0027572408544664917,-0.006335999435550346,0.001372507870324685,0.01,500
yolo26s:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:7f3e733faf01699df32bb3f882d6becfe781ba991ea4b86e2b4e1579c1e62a62,primary,matched,exact_setup,yolo26s,b362,composed,deepx_to_trt,orin_nx_deepx_m1_01,models/yolo26s/benchmark_results/quality_inputs/orin_nx_deepx_m1_01/results/b362/results_deepx_m1_to_tensorrt/task_quality_inputs/composed_request.json,7f3e733faf01699df32bb3f882d6becfe781ba991ea4b86e2b4e1579c1e62a62,completed,fail,fail,b362,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26s/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b362/results_deepx_m1_to_tensorrt/validation_report.json,07288e4846ac0d1b33e74a8e4625d3d209b20029cfd4b1b55f76353b51d63022,31d90ad494f610a0fca41b02d6680466b805124a3105b957906a67287c0aed4b,c241f9c79098479b6c2990e8718aa662d82b60994f252f8e33603e419627937d,coco_ap_50_95,0.401860594564846,0.40753480524311103,-0.005674210678265013,-0.005674210678265013,-0.005674210678265013,0.01,500
yolo26s:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:b35fdf08a903e8179d78b5a689f45aece4d6e64a9f72c1987b1a852114030448,primary,matched,exact_setup,yolo26s,b042,composed,ort_tensorrt,orin_nx_deepx_m1_01,models/yolo26s/benchmark_results/quality_inputs/orin_nx_deepx_m1_01/results/b042/results_ort_tensorrt/task_quality_inputs/composed_request.json,b35fdf08a903e8179d78b5a689f45aece4d6e64a9f72c1987b1a852114030448,completed,pass,pass,b042,ort_tensorrt,tensorrt,split,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26s/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b042/results_ort_tensorrt/validation_report.json,0f399c557ffb0dfd031909f3b54322ef58598662be79bd9ec902d0703fb4ca1d,048542a6c4d75501c928c3c020d51a7a9762872ecd7e37d82b7864ed5f6c993a,c241f9c79098479b6c2990e8718aa662d82b60994f252f8e33603e419627937d,coco_ap_50_95,0.40858832738212414,0.40753480524311103,0.0010535221390131078,0.00019319566203783472,0.0019389937921701977,0.01,500
yolo26s:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:0e796564dfd0fa18ea9957b5e94344a5aed8bfa6a28b470ede5694b3bcaa1d67,primary,matched,exact_setup,yolo26s,b005,composed,hailo8_to_trt,orin_nx_hailo8_01,models/yolo26s/benchmark_results/quality_inputs/orin_nx_hailo8_01/results/b005/results_hailo8_to_trt/task_quality_inputs/composed_request.json,0e796564dfd0fa18ea9957b5e94344a5aed8bfa6a28b470ede5694b3bcaa1d67,completed,inconclusive,inconclusive,b005,hailo8_to_trt,hailo8_to_tensorrt,split,orin_nx_hailo8_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26s/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/case_reports/results/b005/results_hailo8_to_trt/validation_report.json,adf1dd2833de800eaff9261408c9e696f079014665de54b46bfa116f85b79add,0772fd1c3044b8094fe355dbd25ac309995755a6e88f0fcf410e5ec7eafc4773,c241f9c79098479b6c2990e8718aa662d82b60994f252f8e33603e419627937d,coco_ap_50_95,0.3987940286712186,0.40753480524311103,-0.008740776571892428,-0.014193503945014925,-0.0026540143298661723,0.01,500
yolo26m:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:6f1ce7e13f5d9abb6a07c802149a9138c5294ec1a523b976417a180e83a7b342,primary,matched,exact_setup,yolo26m,b072,composed,deepx_to_trt,orin_nx_deepx_m1_01,models/yolo26m/benchmark_results/quality_inputs/orin_nx_deepx_m1_01/results/b072/results_deepx_m1_to_tensorrt/task_quality_inputs/composed_request.json,6f1ce7e13f5d9abb6a07c802149a9138c5294ec1a523b976417a180e83a7b342,completed,pass,pass,b072,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26m/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b072/results_deepx_m1_to_tensorrt/validation_report.json,697fd7b98664576a703115981f5a5d6a90e5c7de97bac189b25e7c6ccf64a557,374b5b11a2a4fbfd90b87f7a747614ab9afd0aa42f70cb1c3873278bbcd2765e,db6da5f49134ab7cd0fd1449c2b2fd2fbc9b0b0d0298f4624aa828492f78b101,coco_ap_50_95,0.44963782272748826,0.4479554002228571,0.0016824225046311314,-0.0030106406512730045,0.005747346755579771,0.01,500
yolo26s:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:b3ef4ff09d715d10eee74998027eafc796c27c64e6e16cd6c2faaf30851c875d,primary,matched,exact_setup,yolo26s,b118,composed,hailo8_to_trt,orin_nx_hailo8_01,models/yolo26s/benchmark_results/quality_inputs/orin_nx_hailo8_01/results/b118/results_hailo8_to_trt/task_quality_inputs/composed_request.json,b3ef4ff09d715d10eee74998027eafc796c27c64e6e16cd6c2faaf30851c875d,completed,inconclusive,inconclusive,b118,hailo8_to_trt,hailo8_to_tensorrt,split,orin_nx_hailo8_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26s/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/case_reports/results/b118/results_hailo8_to_trt/validation_report.json,2407e2a278e20c2614363a10ca838fa4db88bdc75ee3ab038d9c195d273223ac,b7227d1b340185c1c2c6d4e4286b2c7644b15ec94c2f9ee8a959927fb9e8dde7,c241f9c79098479b6c2990e8718aa662d82b60994f252f8e33603e419627937d,coco_ap_50_95,0.39914682412833563,0.40753480524311103,-0.0083879811147754,-0.014852143966497389,-0.0032150425726372063,0.01,500
yolo26m:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:150e1cf9ab6cdbb5f49f401b40ef06741db41db506b4c693f6f52dffba1ac248,primary,matched,exact_setup,yolo26m,b102,composed,deepx_to_trt,orin_nx_deepx_m1_01,models/yolo26m/benchmark_results/quality_inputs/orin_nx_deepx_m1_01/results/b102/results_deepx_m1_to_tensorrt/task_quality_inputs/composed_request.json,150e1cf9ab6cdbb5f49f401b40ef06741db41db506b4c693f6f52dffba1ac248,completed,pass,pass,b102,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26m/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b102/results_deepx_m1_to_tensorrt/validation_report.json,d2ed58089937b9ee59858f41db95b2aca0ebb97245924e701993d3d240aa085e,d6de8fb66ce793dad3506c68cd4fd1b6373804e065770198ff5260d69a9f7df5,db6da5f49134ab7cd0fd1449c2b2fd2fbc9b0b0d0298f4624aa828492f78b101,coco_ap_50_95,0.44817469999023557,0.4479554002228571,0.0002192997673784447,-0.00479086222910496,0.004730267971571986,0.01,500
yolo26s:detection:composed:58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4:sha256:fa61f5e6d3bb28259f3367f6636bb9e5053bf12704c98d5690e1819c49905d0d,primary,matched,exact_setup,yolo26s,b001,composed,ort_tensorrt,orin_nx_deepx_m1_01,models/yolo26s/benchmark_results/quality_inputs/orin_nx_deepx_m1_01/results/b001/results_ort_tensorrt/task_quality_inputs/composed_request.json,fa61f5e6d3bb28259f3367f6636bb9e5053bf12704c98d5690e1819c49905d0d,completed,pass,pass,b001,ort_tensorrt,tensorrt,split,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/yolo26s/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b001/results_ort_tensorrt/validation_report.json,8df438380a4bd6cc1a8766bd00a8957eef9150fe5456f225a833678313acfa36,c8a563eef14bb325f047d72a5d9fd09918590c2a28e611d275cf1c7419696bda,c241f9c79098479b6c2990e8718aa662d82b60994f252f8e33603e419627937d,coco_ap_50_95,0.4083515860652551,0.40753480524311103,0.000816780822144092,0.00020778037508725495,0.0014622087961634444,0.01,500
